,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),Date,Close
19,2019-04-05,18.0,12.0,0.4,15.0,18.0,0.5454545454545454,12.0,12.0,0.5,13.0,2.0,0.13333333333333333,27.0,12.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,0.42857142857142855,4/5/19,274.959991
20,2019-04-04,15.0,18.0,0.5454545454545454,12.0,12.0,0.5,13.0,2.0,0.13333333333333333,27.0,12.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,0.42857142857142855,15.0,3.0,0.16666666666666666,4/4/19,267.779999
21,2019-04-03,12.0,12.0,0.5,13.0,2.0,0.13333333333333333,27.0,12.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,0.42857142857142855,15.0,3.0,0.16666666666666666,26.0,18.0,0.4090909090909091,4/3/19,291.809998
22,2019-04-02,13.0,2.0,0.13333333333333333,27.0,12.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,0.42857142857142855,15.0,3.0,0.16666666666666666,26.0,18.0,0.4090909090909091,14.0,14.0,0.5,4/2/19,285.880005
23,2019-04-01,27.0,12.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,0.42857142857142855,15.0,3.0,0.16666666666666666,26.0,18.0,0.4090909090909091,14.0,14.0,0.5,20.0,15.0,0.42857142857142855,4/1/19,289.179993
24,2019-03-29,16.0,12.0,0.42857142857142855,15.0,3.0,0.16666666666666666,26.0,18.0,0.4090909090909091,14.0,14.0,0.5,20.0,15.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,0.4074074074074074,3/29/19,279.859985
25,2019-03-28,15.0,3.0,0.16666666666666666,26.0,18.0,0.4090909090909091,14.0,14.0,0.5,20.0,15.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,0.4074074074074074,30.0,18.0,0.375,3/28/19,278.619995
26,2019-03-27,26.0,18.0,0.4090909090909091,14.0,14.0,0.5,20.0,15.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,0.4074074074074074,30.0,18.0,0.375,13.0,14.0,0.5185185185185185,3/27/19,274.829987
27,2019-03-26,14.0,14.0,0.5,20.0,15.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,0.4074074074074074,30.0,18.0,0.375,13.0,14.0,0.5185185185185185,15.0,13.0,0.4642857142857143,3/26/19,267.769989
28,2019-03-25,20.0,15.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,0.4074074074074074,30.0,18.0,0.375,13.0,14.0,0.5185185185185185,15.0,13.0,0.4642857142857143,18.0,3.0,0.14285714285714285,3/25/19,260.420013
29,2019-03-22,32.0,22.0,0.4074074074074074,30.0,18.0,0.375,13.0,14.0,0.5185185185185185,15.0,13.0,0.4642857142857143,18.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,0.2857142857142857,3/22/19,264.529999
30,2019-03-21,30.0,18.0,0.375,13.0,14.0,0.5185185185185185,15.0,13.0,0.4642857142857143,18.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,0.2857142857142857,9.0,8.0,0.4705882352941176,3/21/19,274.019989
31,2019-03-20,13.0,14.0,0.5185185185185185,15.0,13.0,0.4642857142857143,18.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,0.2857142857142857,9.0,8.0,0.4705882352941176,10.0,13.0,0.5652173913043478,3/20/19,273.600006
32,2019-03-19,15.0,13.0,0.4642857142857143,18.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,0.2857142857142857,9.0,8.0,0.4705882352941176,10.0,13.0,0.5652173913043478,3.0,4.0,0.5714285714285714,3/19/19,267.470001
33,2019-03-18,18.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,0.2857142857142857,9.0,8.0,0.4705882352941176,10.0,13.0,0.5652173913043478,3.0,4.0,0.5714285714285714,29.0,17.0,0.3695652173913043,3/18/19,269.48999
34,2019-03-15,20.0,8.0,0.2857142857142857,9.0,8.0,0.4705882352941176,10.0,13.0,0.5652173913043478,3.0,4.0,0.5714285714285714,29.0,17.0,0.3695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,0.4117647058823529,3/15/19,275.429993
35,2019-03-14,9.0,8.0,0.4705882352941176,10.0,13.0,0.5652173913043478,3.0,4.0,0.5714285714285714,29.0,17.0,0.3695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,0.4117647058823529,18.0,9.0,0.3333333333333333,3/14/19,289.959991
36,2019-03-13,10.0,13.0,0.5652173913043478,3.0,4.0,0.5714285714285714,29.0,17.0,0.3695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,0.4117647058823529,18.0,9.0,0.3333333333333333,17.0,15.0,0.46875,3/13/19,288.959991
37,2019-03-12,3.0,4.0,0.5714285714285714,29.0,17.0,0.3695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,0.4117647058823529,18.0,9.0,0.3333333333333333,17.0,15.0,0.46875,19.0,18.0,0.4864864864864865,3/12/19,283.359985
38,2019-03-11,29.0,17.0,0.3695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,0.4117647058823529,18.0,9.0,0.3333333333333333,17.0,15.0,0.46875,19.0,18.0,0.4864864864864865,39.0,31.0,0.4428571428571429,3/11/19,290.920013
39,2019-03-08,20.0,14.0,0.4117647058823529,18.0,9.0,0.3333333333333333,17.0,15.0,0.46875,19.0,18.0,0.4864864864864865,39.0,31.0,0.4428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.2692307692307692,3/8/19,284.140015
40,2019-03-07,18.0,9.0,0.3333333333333333,17.0,15.0,0.46875,19.0,18.0,0.4864864864864865,39.0,31.0,0.4428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.2692307692307692,13.0,13.0,0.5,3/7/19,276.589996
41,2019-03-06,17.0,15.0,0.46875,19.0,18.0,0.4864864864864865,39.0,31.0,0.4428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.2692307692307692,13.0,13.0,0.5,8.0,10.0,0.5555555555555556,3/6/19,276.23999
42,2019-03-05,19.0,18.0,0.4864864864864865,39.0,31.0,0.4428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.2692307692307692,13.0,13.0,0.5,8.0,10.0,0.5555555555555556,7.0,12.0,0.631578947368421,3/5/19,276.540009
43,2019-03-04,39.0,31.0,0.4428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.2692307692307692,13.0,13.0,0.5,8.0,10.0,0.5555555555555556,7.0,12.0,0.631578947368421,18.0,11.0,0.3793103448275862,3/4/19,285.359985
44,2019-03-01,19.0,7.0,0.2692307692307692,13.0,13.0,0.5,8.0,10.0,0.5555555555555556,7.0,12.0,0.631578947368421,18.0,11.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.3548387096774194,3/1/19,294.790009
45,2019-02-28,13.0,13.0,0.5,8.0,10.0,0.5555555555555556,7.0,12.0,0.631578947368421,18.0,11.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.3548387096774194,11.0,8.0,0.42105263157894735,2/28/19,319.880005
46,2019-02-27,8.0,10.0,0.5555555555555556,7.0,12.0,0.631578947368421,18.0,11.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.3548387096774194,11.0,8.0,0.42105263157894735,24.0,15.0,0.38461538461538464,2/27/19,314.73999
47,2019-02-26,7.0,12.0,0.631578947368421,18.0,11.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.3548387096774194,11.0,8.0,0.42105263157894735,24.0,15.0,0.38461538461538464,19.0,14.0,0.42424242424242425,2/26/19,297.859985
48,2019-02-25,18.0,11.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.3548387096774194,11.0,8.0,0.42105263157894735,24.0,15.0,0.38461538461538464,19.0,14.0,0.42424242424242425,0.0,0.0,0.0,2/25/19,298.769989
49,2019-02-22,20.0,11.0,0.3548387096774194,11.0,8.0,0.42105263157894735,24.0,15.0,0.38461538461538464,19.0,14.0,0.42424242424242425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,20.0,0.3076923076923077,2/22/19,294.709991
